LocationName,Year,Month,Day,Item
Hosaritti,1994,6,1,0
Hosaritti,1994,6,2,0
Hosaritti,1994,6,3,0
Hosaritti,1994,6,4,0
Hosaritti,1994,6,5,0
Hosaritti,1994,6,6,0
Hosaritti,1994,6,7,0
Hosaritti,1994,6,8,0
Hosaritti,1994,6,9,0
Hosaritti,1994,6,10,0
Hosaritti,1994,6,11,0
Hosaritti,1994,6,12,13.85
Hosaritti,1994,6,13,13.26
Hosaritti,1994,6,14,28.46
Hosaritti,1994,6,15,67.76
Hosaritti,1994,6,16,110.59
Hosaritti,1994,6,17,107.8
Hosaritti,1994,6,18,88.59
Hosaritti,1994,6,19,87.06
Hosaritti,1994,6,20,73.36
Hosaritti,1994,6,21,61.37
Hosaritti,1994,6,22,49.19
Hosaritti,1994,6,23,34.05
Hosaritti,1994,6,24,32.4
Hosaritti,1994,6,25,32.27
Hosaritti,1994,6,26,28.33
Hosaritti,1994,6,27,27.89
Hosaritti,1994,6,28,58.77
Hosaritti,1994,6,29,81.39
Hosaritti,1994,6,30,154.92
Hosaritti,1994,7,1,494.49
Hosaritti,1994,7,2,369.5
Hosaritti,1994,7,3,478.35
Hosaritti,1994,7,4,395.66
Hosaritti,1994,7,5,393.74
Hosaritti,1994,7,6,320.22
Hosaritti,1994,7,7,322.76
Hosaritti,1994,7,8,233.74
Hosaritti,1994,7,9,151.57
Hosaritti,1994,7,10,126.39
Hosaritti,1994,7,11,214.2
Hosaritti,1994,7,12,476.08
Hosaritti,1994,7,13,875.02
Hosaritti,1994,7,14,882.64
Hosaritti,1994,7,15,950.43
Hosaritti,1994,7,16,926.39
Hosaritti,1994,7,17,941.2
Hosaritti,1994,7,18,1049.35
Hosaritti,1994,7,19,934.34
Hosaritti,1994,7,20,859.75
Hosaritti,1994,7,21,761.77
Hosaritti,1994,7,22,698.95
Hosaritti,1994,7,23,807.39
Hosaritti,1994,7,24,824.15
Hosaritti,1994,7,25,810.26
Hosaritti,1994,7,26,810.44
Hosaritti,1994,7,27,629.97
Hosaritti,1994,7,28,554.89
Hosaritti,1994,7,29,475.7
Hosaritti,1994,7,30,435.29
Hosaritti,1994,7,31,411.78
Hosaritti,1994,8,1,384.57
Hosaritti,1994,8,2,397.17
Hosaritti,1994,8,3,384.7
Hosaritti,1994,8,4,394.12
Hosaritti,1994,8,5,372.27
Hosaritti,1994,8,6,354.64
Hosaritti,1994,8,7,287.59
Hosaritti,1994,8,8,246.42
Hosaritti,1994,8,9,197.73
Hosaritti,1994,8,10,172.25
Hosaritti,1994,8,11,140.82
Hosaritti,1994,8,12,125.45
Hosaritti,1994,8,13,246.53
Hosaritti,1994,8,14,307.04
Hosaritti,1994,8,15,242.03
Hosaritti,1994,8,16,160.82
Hosaritti,1994,8,17,134.02
Hosaritti,1994,8,18,119.48
Hosaritti,1994,8,19,141.66
Hosaritti,1994,8,20,193.75
Hosaritti,1994,8,21,200.64
Hosaritti,1994,8,22,226.87
Hosaritti,1994,8,23,228.16
Hosaritti,1994,8,24,218.91
Hosaritti,1994,8,25,270.35
Hosaritti,1994,8,26,338.87
Hosaritti,1994,8,27,355.37
Hosaritti,1994,8,28,404.98
Hosaritti,1994,8,29,429.49
Hosaritti,1994,8,30,490.7
Hosaritti,1994,8,31,455.89
