LocationName,Year,Month,Day,Item
Rattihalli,1995,6,1,0
Rattihalli,1995,6,2,0
Rattihalli,1995,6,3,0
Rattihalli,1995,6,4,0
Rattihalli,1995,6,5,0
Rattihalli,1995,6,6,0
Rattihalli,1995,6,7,0
Rattihalli,1995,6,8,0
Rattihalli,1995,6,9,0
Rattihalli,1995,6,10,0
Rattihalli,1995,6,11,0
Rattihalli,1995,6,12,0
Rattihalli,1995,6,13,0
Rattihalli,1995,6,14,0
Rattihalli,1995,6,15,0
Rattihalli,1995,6,16,0
Rattihalli,1995,6,17,0
Rattihalli,1995,6,18,0
Rattihalli,1995,6,19,0
Rattihalli,1995,6,20,0
Rattihalli,1995,6,21,0
Rattihalli,1995,6,22,0
Rattihalli,1995,6,23,0
Rattihalli,1995,6,24,0
Rattihalli,1995,6,25,0
Rattihalli,1995,6,26,0
Rattihalli,1995,6,27,0
Rattihalli,1995,6,28,0
Rattihalli,1995,6,29,0
Rattihalli,1995,6,30,0
Rattihalli,1995,7,1,0
Rattihalli,1995,7,2,0
Rattihalli,1995,7,3,0
Rattihalli,1995,7,4,0
Rattihalli,1995,7,5,0
Rattihalli,1995,7,6,4.09
Rattihalli,1995,7,7,6.84
Rattihalli,1995,7,8,9.08
Rattihalli,1995,7,9,10.61
Rattihalli,1995,7,10,11.63
Rattihalli,1995,7,11,13.24
Rattihalli,1995,7,12,12.17
Rattihalli,1995,7,13,10.44
Rattihalli,1995,7,14,9.59
Rattihalli,1995,7,15,8.97
Rattihalli,1995,7,16,9.05
Rattihalli,1995,7,17,8.67
Rattihalli,1995,7,18,7.52
Rattihalli,1995,7,19,5.38
Rattihalli,1995,7,20,3.83
Rattihalli,1995,7,21,4.23
Rattihalli,1995,7,22,4.2
Rattihalli,1995,7,23,4.77
Rattihalli,1995,7,24,6.92
Rattihalli,1995,7,25,7.5
Rattihalli,1995,7,26,6.3
Rattihalli,1995,7,27,6.12
Rattihalli,1995,7,28,4.81
Rattihalli,1995,7,29,4.5
Rattihalli,1995,7,30,6.35
Rattihalli,1995,7,31,9.41
Rattihalli,1995,8,1,10.98
Rattihalli,1995,8,2,6.39
Rattihalli,1995,8,3,6.97
Rattihalli,1995,8,4,8.46
Rattihalli,1995,8,5,8.83
Rattihalli,1995,8,6,9.22
Rattihalli,1995,8,7,8.18
Rattihalli,1995,8,8,10.12
Rattihalli,1995,8,9,13.91
Rattihalli,1995,8,10,15.76
Rattihalli,1995,8,11,19.02
Rattihalli,1995,8,12,22.31
Rattihalli,1995,8,13,26.12
Rattihalli,1995,8,14,28.43
Rattihalli,1995,8,15,28.77
Rattihalli,1995,8,16,30.98
Rattihalli,1995,8,17,33.13
Rattihalli,1995,8,18,34.04
Rattihalli,1995,8,19,35.51
Rattihalli,1995,8,20,37.29
Rattihalli,1995,8,21,38.25
Rattihalli,1995,8,22,39.27
Rattihalli,1995,8,23,41.46
Rattihalli,1995,8,24,44.2
Rattihalli,1995,8,25,41.95
Rattihalli,1995,8,26,42.3
Rattihalli,1995,8,27,44.07
Rattihalli,1995,8,28,45.77
Rattihalli,1995,8,29,45.8
Rattihalli,1995,8,30,43.32
Rattihalli,1995,8,31,40.97
Rattihalli,1995,9,1,36.25
Rattihalli,1995,9,2,36.48
Rattihalli,1995,9,3,35.01
Rattihalli,1995,9,4,33.44
Rattihalli,1995,9,5,30.54
Rattihalli,1995,9,6,28.54
Rattihalli,1995,9,7,26.53
Rattihalli,1995,9,8,21.79
Rattihalli,1995,9,9,17.71
Rattihalli,1995,9,10,17.19
Rattihalli,1995,9,11,13.36
Rattihalli,1995,9,12,8.68
Rattihalli,1995,9,13,9.09
Rattihalli,1995,9,14,8.46
Rattihalli,1995,9,15,8.66
Rattihalli,1995,9,16,8.58
Rattihalli,1995,9,17,8.33
Rattihalli,1995,9,18,8.47
Rattihalli,1995,9,19,8.95
Rattihalli,1995,9,20,8.84
Rattihalli,1995,9,21,8.27
Rattihalli,1995,9,22,8.37
Rattihalli,1995,9,23,8.56
Rattihalli,1995,9,24,9
Rattihalli,1995,9,25,8.73
Rattihalli,1995,9,26,8.68
Rattihalli,1995,9,27,9.01
Rattihalli,1995,9,28,9.17
Rattihalli,1995,9,29,9.65
Rattihalli,1995,9,30,9.84
Rattihalli,1995,10,1,10.5
Rattihalli,1995,10,2,12.19
Rattihalli,1995,10,3,12.48
Rattihalli,1995,10,4,12.59
Rattihalli,1995,10,5,11.76
Rattihalli,1995,10,6,11.42
Rattihalli,1995,10,7,11.62
Rattihalli,1995,10,8,10.58
Rattihalli,1995,10,9,9.82
Rattihalli,1995,10,10,9.55
Rattihalli,1995,10,11,9.59
Rattihalli,1995,10,12,9.47
Rattihalli,1995,10,13,9
Rattihalli,1995,10,14,9.26
Rattihalli,1995,10,15,9.18
Rattihalli,1995,10,16,10.05
Rattihalli,1995,10,17,11.16
Rattihalli,1995,10,18,11.09
Rattihalli,1995,10,19,11.24
Rattihalli,1995,10,20,11.34
Rattihalli,1995,10,21,13.86
Rattihalli,1995,10,22,17.17
Rattihalli,1995,10,23,19.67
Rattihalli,1995,10,24,19.76
Rattihalli,1995,10,25,18.02
Rattihalli,1995,10,26,16.23
Rattihalli,1995,10,27,14.98
Rattihalli,1995,10,28,14.67
Rattihalli,1995,10,29,14.7
Rattihalli,1995,10,30,13.74
Rattihalli,1995,10,31,13.5
Rattihalli,1995,11,1,13.6
Rattihalli,1995,11,2,13.31
Rattihalli,1995,11,3,13.52
Rattihalli,1995,11,4,13.43
Rattihalli,1995,11,5,14.28
Rattihalli,1995,11,6,13.96
Rattihalli,1995,11,7,13.93
Rattihalli,1995,11,8,14
Rattihalli,1995,11,9,13.57
Rattihalli,1995,11,10,12.86
Rattihalli,1995,11,11,12.87
Rattihalli,1995,11,12,13.74
Rattihalli,1995,11,13,13.31
Rattihalli,1995,11,14,13.2
Rattihalli,1995,11,15,13.01
Rattihalli,1995,11,16,12.61
Rattihalli,1995,11,17,12.62
Rattihalli,1995,11,18,11.99
Rattihalli,1995,11,19,8.17
Rattihalli,1995,11,20,2.36
Rattihalli,1995,11,21,2.53
Rattihalli,1995,11,22,3.1
Rattihalli,1995,11,23,3.18
Rattihalli,1995,11,24,3.32
Rattihalli,1995,11,25,3.39
Rattihalli,1995,11,26,3.59
Rattihalli,1995,11,27,4.61
Rattihalli,1995,11,28,4.75
Rattihalli,1995,11,29,4.65
Rattihalli,1995,11,30,4.75
Rattihalli,1995,12,1,4.84
Rattihalli,1995,12,2,4.78
