LocationName,Year,Month,Day,Item
Balehonnur,1995,6,1,4.98
Balehonnur,1995,6,2,4.35
Balehonnur,1995,6,3,4.26
Balehonnur,1995,6,4,4.16
Balehonnur,1995,6,5,4.17
Balehonnur,1995,6,6,4.24
Balehonnur,1995,6,7,3.97
Balehonnur,1995,6,8,3.85
Balehonnur,1995,6,9,3.7
Balehonnur,1995,6,10,3.86
Balehonnur,1995,6,11,13.86
Balehonnur,1995,6,12,37.48
Balehonnur,1995,6,13,99.23
Balehonnur,1995,6,14,106.32
Balehonnur,1995,6,15,57.07
Balehonnur,1995,6,16,42.14
Balehonnur,1995,6,17,37.51
Balehonnur,1995,6,18,24.42
Balehonnur,1995,6,19,16.79
Balehonnur,1995,6,20,15.81
Balehonnur,1995,6,21,32.35
Balehonnur,1995,6,22,40.7
Balehonnur,1995,6,23,33.87
Balehonnur,1995,6,24,30
Balehonnur,1995,6,25,24.49
Balehonnur,1995,6,26,17.05
Balehonnur,1995,6,27,22.43
Balehonnur,1995,6,28,74.99
Balehonnur,1995,6,29,117.93
Balehonnur,1995,6,30,160.31
Balehonnur,1995,7,1,323.33625
Balehonnur,1995,7,2,316.5525
Balehonnur,1995,7,3,147.7
Balehonnur,1995,7,4,90.19
Balehonnur,1995,7,5,80.9075
Balehonnur,1995,7,6,116.95625
Balehonnur,1995,7,7,153.01875
Balehonnur,1995,7,8,146.0375
Balehonnur,1995,7,9,189.72625
Balehonnur,1995,7,10,283.14
Balehonnur,1995,7,11,395.85625
Balehonnur,1995,7,12,364.58
Balehonnur,1995,7,13,295.73
Balehonnur,1995,7,14,231.12
Balehonnur,1995,7,15,204.54
Balehonnur,1995,7,16,251.02
Balehonnur,1995,7,17,321.65
Balehonnur,1995,7,18,308.53
Balehonnur,1995,7,19,481.92
Balehonnur,1995,7,20,538.75
Balehonnur,1995,7,21,535.86
Balehonnur,1995,7,22,359.03
Balehonnur,1995,7,23,354.49
Balehonnur,1995,7,24,323.41
Balehonnur,1995,7,25,244.321
Balehonnur,1995,7,26,198.6
Balehonnur,1995,7,27,165.31
Balehonnur,1995,7,28,146.05
